,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Price,PriceOneRoom,PriceOneRoomByDistrict,Floor_cat
0,14038,35,2.0,47.98156123517504,29.44275054713416,6.0,7.0,9.0,1969,0.089039719,1,1,33,7976,5,0,11,1,184966.9307298416,92483.4653649208,121239.81247241354,2.0
1,15053,41,3.0,65.68363987232782,40.04954252356545,8.0,7.0,9.0,1978,6.99893e-05,1,1,46,10309,1,1,16,1,300009.4500627274,100003.15002090913,120688.95084723899,2.0
2,4765,53,2.0,44.947952764125,29.1976116880482,0.0,8.0,12.0,1968,0.049637257,1,1,34,7759,0,1,3,1,220925.90852358093,110462.95426179047,138669.19992488436,2.0
3,5809,58,2.0,53.35298135561334,52.73151204863503,9.0,8.0,17.0,1977,0.43788524,1,1,23,5735,3,0,5,1,175616.22721724625,87808.11360862313,105638.51674758486,2.0
4,10783,99,1.0,39.64919195003,23.7761691108976,7.0,11.0,12.0,1976,0.012338886,1,1,35,5776,1,2,4,1,150226.5316437466,150226.5316437466,101817.57928821824,2.0
5,12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5.0,17.0,2011,0.309479124,1,1,35,7715,4,0,6,1,215898.44774214897,71966.14924738299,164233.41915758423,1.0
6,14549,154,2.0,62.2541135864025,37.16037741888674,7.0,3.0,5.0,1960,0.460556389,1,1,20,4386,14,1,5,1,296021.2043771131,148010.60218855654,142572.57979427188,1.0
7,11993,74,2.0,80.31292563185586,80.31292563185586,0.0,14.0,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,221244.15666358557,110622.07833179279,127646.56495323495,2.0
8,5172,1,2.0,64.51143730838427,63.511437308384274,1.0,9.0,17.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,229102.7959994131,114551.39799970655,106080.89813984977,2.0
9,8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13.0,17.0,2014,0.075778755,1,1,6,1437,3,0,2,1,95380.22099316985,95380.22099316985,76232.42437168532,2.0
10,15370,28,2.0,46.304906773325854,27.922584447134263,6.0,8.0,9.0,1973,0.118537385,1,1,30,6207,1,1,0,1,204243.55312879704,102121.77656439852,122103.92739434964,2.0
11,12427,31,3.0,68.80885909839964,45.73690563942196,7.0,1.0,8.0,1959,0.0,1,1,23,3684,2,0,4,1,165534.5414246522,55178.18047488407,159077.2375848309,1.0
12,6452,13,2.0,54.522804902937104,31.75975305618809,1.0,8.0,12.0,1999,0.090799103,1,1,74,19083,2,5,15,1,229220.3726091401,114610.18630457004,122754.00514205194,2.0
13,2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6.0,12.0,1980,0.133215333,1,1,49,11395,3,3,4,0,252481.9083226248,84160.6361075416,121811.56380831767,2.0
14,10953,27,1.0,53.76909713652528,52.40802696611313,1.0,4.0,4.0,1977,0.072157581,1,1,2,629,1,0,0,0,140647.56593684404,140647.56593684404,94738.78010510074,1.0
15,2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4.0,9.0,1979,0.037177818,1,1,52,11217,1,1,7,1,89084.32787608178,29694.775958693925,113830.92888671593,1.0
16,2119,27,2.0,49.360647800323534,31.993963547007414,5.0,5.0,5.0,1983,0.051815435,1,1,5,1227,0,0,0,1,117000.381286696,58500.190643348,94738.78010510074,1.0
17,3000,34,2.0,57.96996422253015,32.01248263525128,9.0,6.0,14.0,2001,0.069753361,1,1,53,13670,4,1,11,1,231828.43766693235,115914.21883346618,129738.6515885499,2.0
18,2829,57,1.0,44.51348081256669,23.1134231345738,8.0,6.0,12.0,1983,0.133215333,1,1,49,11395,3,3,4,0,183743.23046424173,183743.23046424173,121811.56380831767,2.0
19,4909,19,3.0,110.95979224728354,56.99676490132151,11.0,16.0,25.0,2012,0.000991363,1,1,33,6783,3,1,9,1,394895.3259868009,131631.77532893364,129586.7063773882,2.0
20,8862,0,3.0,103.60529197422832,47.79942626246952,10.0,12.0,17.0,2002,0.319809354,1,1,25,4756,16,5,8,1,521919.0573998705,173973.01913329016,108490.12104324048,2.0
21,11935,27,2.0,64.71183493873933,63.71183493873933,1.0,1.0,1.0,1977,0.2114012139999999,1,1,9,1892,0,0,1,1,127200.02651097004,63600.01325548502,94738.78010510074,1.0
22,11852,48,1.0,41.66864965650633,20.207761889892915,10.0,19.0,22.0,1996,0.041124634,1,1,46,9515,5,1,10,1,215083.96905610108,215083.96905610108,166187.533158843,3.0
23,6641,54,3.0,118.90761184257369,118.90761184257369,0.0,2.0,17.0,1977,0.006076152,1,1,30,5285,0,6,6,1,571069.0526003882,190356.35086679607,185149.25164966207,1.0
24,7704,150,3.0,62.18053598937177,44.16969407540736,5.0,4.0,5.0,1964,0.020741326,1,1,24,5613,5,2,5,1,241718.0995266293,80572.69984220977,95241.70906217028,1.0
25,5073,74,2.0,82.66791473448255,81.66791473448255,1.0,16.0,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,244145.82706857228,122072.91353428614,127646.56495323495,2.0
26,4378,27,3.0,106.95887123511147,0.6418221077821484,0.0,17.0,17.0,2018,0.072157581,1,1,2,629,1,0,0,0,337299.8679364438,112433.28931214794,94738.78010510074,2.0
27,7550,23,2.0,64.55620925344805,63.556209253448046,1.0,8.0,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,173910.92372317292,86955.46186158646,76232.42437168532,2.0
28,8054,23,1.0,42.530043258688565,43.96775892567469,1.0,3.0,9.0,2014,0.034656082,1,1,0,168,0,0,0,1,95338.19854860756,95338.19854860756,76232.42437168532,1.0
29,522,11,2.0,48.37223191245333,31.00758147862463,6.0,4.0,9.0,1972,0.0001696759999999,1,1,36,5992,0,1,1,1,213374.1664030486,106687.0832015243,100098.98421580424,1.0
30,89,50,2.0,39.43535081853332,23.37768698871145,7.0,9.0,9.0,1965,0.007658515,1,1,35,7077,56,3,19,1,283877.6171417454,141938.8085708727,142880.79107470778,2.0
